"Selitveno gibanje prebivalstva po: STATISTIÈNA REGIJA, LETO , MERITVE"

" ";" ";"Priseljeni iz tujine - Skupaj";"Priseljeni iz tujine - Moški";"Priseljeni iz tujine - Ženske";"Odseljeni v tujino - Skupaj";"Odseljeni v tujino - Moški";"Odseljeni v tujino - Ženske";"Priseljeni iz tujine na 1000 prebivalcev";"Odseljeni v tujino na 1000 prebivalcev"
" ";"2010";5032;3170;1862;5160;3697;1463;9.5;9.7
" ";"2011";4650;2714;1936;4099;2882;1217;8.7;7.7
" ";"2012";4879;2821;2058;4187;2582;1605;9.1;7.8
" ";"2013";4484;2614;1870;4210;2452;1758;8.3;7.8
" ";"2014";4746;2722;2024;4375;2605;1770;8.7;8.0
"Gorenjska"
" ";"1995";184;99;85;106;58;48;0.9;0.5
" ";"1996";143;69;74;77;45;32;0.7;0.4
" ";"1997";86;41;45;96;63;33;0.4;0.5
" ";"1998";469;275;194;961;748;213;2.4;4.9
" ";"1999";499;350;149;232;140;92;2.5;1.2
" ";"2000";388;253;135;420;268;152;2.0;2.1
" ";"2001";546;355;191;370;257;113;2.8;1.9
" ";"2002";672;407;265;645;383;262;3.4;3.3
" ";"2003";722;455;267;609;339;270;3.6;3.1
" ";"2004";772;564;208;781;589;192;3.9;3.9
" ";"2005";1151;843;308;757;550;207;5.8;3.8
" ";"2006";1377;1021;356;1029;783;246;6.9;5.2
" ";"2007";2057;1571;486;1087;697;390;10.3;5.4
" ";"2008";2469;1846;623;806;542;264;12.3;4.0
" ";"2009";2243;1645;598;1449;1103;346;11.1;7.2
" ";"2010";1422;904;518;1292;922;370;7.0;6.4
" ";"2011";1312;767;545;1082;719;363;6.4;5.3
" ";"2012";1230;695;535;1248;758;490;6.0;6.1
" ";"2013";1093;633;460;1274;746;528;5.4;6.2
" ";"2014";1120;641;479;1349;767;582;5.5;6.6
"Notranjsko-kraška"
" ";"1995";84;47;37;13;9;4;1.7;0.3
" ";"1996";60;23;37;7;4;3;1.2;0.1
" ";"1997";59;34;25;13;6;7;1.2;0.3
" ";"1998";170;101;69;196;166;30;3.4;3.9
" ";"1999";132;93;39;46;23;23;2.6;0.9
" ";"2000";161;108;53;73;49;24;3.2;1.4
" ";"2001";195;118;77;86;43;43;3.8;1.7
" ";"2002";274;195;79;206;145;61;5.4;4.1
" ";"2003";336;221;115;168;88;80;6.6;3.3
" ";"2004";307;221;86;233;181;52;6.0;4.6
" ";"2005";360;285;75;233;177;56;7.0;4.6
" ";"2006";551;448;103;329;257;72;10.7;6.4
" ";"2007";968;801;167;432;317;115;18.7;8.3
" ";"2008";906;727;179;400;315;85;17.5;7.7
" ";"2009";950;720;230;512;407;105;18.2;9.8
" ";"2010";407;264;143;385;283;102;7.8;7.4
" ";"2011";365;207;158;333;227;106;7.0;6.4
" ";"2012";394;216;178;347;219;128;7.5;6.6
" ";"2013";407;239;168;265;170;95;7.7;5.0
" ";"2014";393;256;137;342;200;142;7.5;6.5
"Goriška"
" ";"1995";98;50;48;19;8;11;0.8;0.2
" ";"1996";63;33;30;25;11;14;0.5;0.2
" ";"1997";46;14;32;27;16;11;0.4;0.2
" ";"1998";264;188;76;488;405;83;2.2;4.1
" ";"1999";505;423;82;199;159;40;4.2;1.7
" ";"2000";446;330;116;186;141;45;3.7;1.5
" ";"2001";449;308;141;419;332;87;3.7;3.5
" ";"2002";669;475;194;442;294;148;5.6;3.7
" ";"2003";682;461;221;353;229;124;5.7;2.9
" ";"2004";712;540;172;602;469;133;6.0;5.0
" ";"2005";956;741;215;574;471;103;8.0;4.8
" ";"2006";1326;1083;243;854;706;148;11.1;7.1
" ";"2007";2057;1700;357;867;619;248;17.1;7.2
" ";"2008";1916;1517;399;662;522;140;16.2;5.6
" ";"2009";1990;1548;442;1253;1027;226;16.7;10.5
" ";"2010";968;587;381;934;727;207;8.1;7.8
" ";"2011";775;447;328;608;428;180;6.5;5.1
