"Meddržavne selitve po: SELITVE, LETO, STAROSTNE SKUPINE, DRŽAVLJANSTVO"
", SPOL"

" ";" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"1995"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Državljani Republike Slovenije";195;116;79
" ";" ";" ";"Tuji državljani";479;367;112
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";389;229;160
" ";" ";" ";"Državljani Republike Slovenije";186;98;88
" ";" ";" ";"Tuji državljani";203;131;72
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";252;154;98
" ";" ";" ";"Državljani Republike Slovenije";118;80;38
" ";" ";" ";"Tuji državljani";134;74;60
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";153;75;78
" ";" ";" ";"Državljani Republike Slovenije";87;44;43
" ";" ";" ";"Tuji državljani";66;31;35
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";90;41;49
" ";" ";" ";"Državljani Republike Slovenije";56;27;29
" ";" ";" ";"Tuji državljani";34;14;20
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";62;25;37
" ";" ";" ";"Državljani Republike Slovenije";29;13;16
" ";" ";" ";"Tuji državljani";33;12;21
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";52;20;32
" ";" ";" ";"Državljani Republike Slovenije";27;7;20
" ";" ";" ";"Tuji državljani";25;13;12
" ";"2010"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";15416;9841;5575
" ";" ";" ";"Državljani Republike Slovenije";2711;1553;1158
" ";" ";" ";"Tuji državljani";12705;8288;4417
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";1013;515;498
" ";" ";" ";"Državljani Republike Slovenije";394;211;183
" ";" ";" ";"Tuji državljani";619;304;315
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";510;285;225
" ";" ";" ";"Državljani Republike Slovenije";105;58;47
" ";" ";" ";"Tuji državljani";405;227;178
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";436;232;204
" ";" ";" ";"Državljani Republike Slovenije";67;29;38
" ";" ";" ";"Tuji državljani";369;203;166
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";682;329;353
" ";" ";" ";"Državljani Republike Slovenije";80;41;39
" ";" ";" ";"Tuji državljani";602;288;314
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";2075;1261;814
" ";" ";" ";"Državljani Republike Slovenije";126;74;52
" ";" ";" ";"Tuji državljani";1949;1187;762
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";2495;1644;851
" ";" ";" ";"Državljani Republike Slovenije";201;126;75
" ";" ";" ";"Tuji državljani";2294;1518;776
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1919;1264;655
" ";" ";" ";"Državljani Republike Slovenije";264;152;112
" ";" ";" ";"Tuji državljani";1655;1112;543
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1589;1096;493
" ";" ";" ";"Državljani Republike Slovenije";209;130;79
" ";" ";" ";"Tuji državljani";1380;966;414
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1385;1011;374
" ";" ";" ";"Državljani Republike Slovenije";184;118;66
" ";" ";" ";"Tuji državljani";1201;893;308
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";1071;790;281
" ";" ";" ";"Državljani Republike Slovenije";188;112;76
" ";" ";" ";"Tuji državljani";883;678;205
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";773;563;210
" ";" ";" ";"Državljani Republike Slovenije";165;101;64
" ";" ";" ";"Tuji državljani";608;462;146
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";502;314;188
" ";" ";" ";"Državljani Republike Slovenije";194;102;92
" ";" ";" ";"Tuji državljani";308;212;96
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";366;230;136
" ";" ";" ";"Državljani Republike Slovenije";196;120;76
" ";" ";" ";"Tuji državljani";170;110;60
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";240;151;89
" ";" ";" ";"Državljani Republike Slovenije";140;87;53
" ";" ";" ";"Tuji državljani";100;64;36
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";147;74;73
" ";" ";" ";"Državljani Republike Slovenije";84;45;39
" ";" ";" ";"Tuji državljani";63;29;34
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";97;48;49
" ";" ";" ";"Državljani Republike Slovenije";61;29;32
" ";" ";" ";"Tuji državljani";36;19;17
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";61;20;41
" ";" ";" ";"Državljani Republike Slovenije";31;13;18
" ";" ";" ";"Tuji državljani";30;7;23
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";55;14;41
" ";" ";" ";"Državljani Republike Slovenije";22;5;17
" ";" ";" ";"Tuji državljani";33;9;24
" ";"2011"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";14083;8317;5766
" ";" ";" ";"Državljani Republike Slovenije";3318;1781;1537
" ";" ";" ";"Tuji državljani";10765;6536;4229
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";910;484;426
" ";" ";" ";"Državljani Republike Slovenije";371;208;163
" ";" ";" ";"Tuji državljani";539;276;263
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";529;267;262
" ";" ";" ";"Državljani Republike Slovenije";109;61;48
" ";" ";" ";"Tuji državljani";420;206;214
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";460;248;212
" ";" ";" ";"Državljani Republike Slovenije";63;39;24
" ";" ";" ";"Tuji državljani";397;209;188
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";651;350;301
" ";" ";" ";"Državljani Republike Slovenije";107;56;51
" ";" ";" ";"Tuji državljani";544;294;250
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1620;876;744
" ";" ";" ";"Državljani Republike Slovenije";135;80;55
" ";" ";" ";"Tuji državljani";1485;796;689
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";2057;1168;889
" ";" ";" ";"Državljani Republike Slovenije";227;118;109
" ";" ";" ";"Tuji državljani";1830;1050;780
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1769;1074;695
" ";" ";" ";"Državljani Republike Slovenije";309;161;148
" ";" ";" ";"Tuji državljani";1460;913;547
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1427;869;558
" ";" ";" ";"Državljani Republike Slovenije";314;164;150
" ";" ";" ";"Tuji državljani";1113;705;408
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1211;836;375
" ";" ";" ";"Državljani Republike Slovenije";250;144;106
" ";" ";" ";"Tuji državljani";961;692;269
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";974;683;291
" ";" ";" ";"Državljani Republike Slovenije";223;132;91
" ";" ";" ";"Tuji državljani";751;551;200
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";759;507;252
" ";" ";" ";"Državljani Republike Slovenije";208;118;90
" ";" ";" ";"Tuji državljani";551;389;162
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";561;351;210
" ";" ";" ";"Državljani Republike Slovenije";274;132;142
" ";" ";" ";"Tuji državljani";287;219;68
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";488;255;233
" ";" ";" ";"Državljani Republike Slovenije";306;142;164
" ";" ";" ";"Tuji državljani";182;113;69
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";285;169;116
" ";" ";" ";"Državljani Republike Slovenije";190;113;77
" ";" ";" ";"Tuji državljani";95;56;39
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";164;95;69
" ";" ";" ";"Državljani Republike Slovenije";92;58;34
" ";" ";" ";"Tuji državljani";72;37;35
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";114;53;61
" ";" ";" ";"Državljani Republike Slovenije";81;39;42
" ";" ";" ";"Tuji državljani";33;14;19
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";59;19;40
" ";" ";" ";"Državljani Republike Slovenije";32;10;22
" ";" ";" ";"Tuji državljani";27;9;18
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";45;13;32
" ";" ";" ";"Državljani Republike Slovenije";27;6;21
" ";" ";" ";"Tuji državljani";18;7;11
" ";"2012"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";15022;9102;5920
" ";" ";" ";"Državljani Republike Slovenije";2741;1540;1201
" ";" ";" ";"Tuji državljani";12281;7562;4719
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";988;512;476
" ";" ";" ";"Državljani Republike Slovenije";417;220;197
" ";" ";" ";"Tuji državljani";571;292;279
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";620;332;288
" ";" ";" ";"Državljani Republike Slovenije";121;70;51
" ";" ";" ";"Tuji državljani";499;262;237
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";511;271;240
" ";" ";" ";"Državljani Republike Slovenije";51;28;23
" ";" ";" ";"Tuji državljani";460;243;217
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";738;393;345
" ";" ";" ";"Državljani Republike Slovenije";78;40;38
" ";" ";" ";"Tuji državljani";660;353;307
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1794;930;864
" ";" ";" ";"Državljani Republike Slovenije";102;58;44
" ";" ";" ";"Tuji državljani";1692;872;820
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";2240;1332;908
" ";" ";" ";"Državljani Republike Slovenije";178;109;69
" ";" ";" ";"Tuji državljani";2062;1223;839
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1943;1236;707
" ";" ";" ";"Državljani Republike Slovenije";250;136;114
" ";" ";" ";"Tuji državljani";1693;1100;593
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1607;1025;582
" ";" ";" ";"Državljani Republike Slovenije";251;136;115
" ";" ";" ";"Tuji državljani";1356;889;467
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1281;851;430
" ";" ";" ";"Državljani Republike Slovenije";205;128;77
" ";" ";" ";"Tuji državljani";1076;723;353
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";975;712;263
" ";" ";" ";"Državljani Republike Slovenije";158;105;53
" ";" ";" ";"Tuji državljani";817;607;210
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";775;565;210
" ";" ";" ";"Državljani Republike Slovenije";145;87;58
" ";" ";" ";"Tuji državljani";630;478;152
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";514;367;147
" ";" ";" ";"Državljani Republike Slovenije";193;105;88
" ";" ";" ";"Tuji državljani";321;262;59
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";445;248;197
" ";" ";" ";"Državljani Republike Slovenije";274;139;135
" ";" ";" ";"Tuji državljani";171;109;62
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";271;175;96
" ";" ";" ";"Državljani Republike Slovenije";164;107;57
" ";" ";" ";"Tuji državljani";107;68;39
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";149;84;65
" ";" ";" ";"Državljani Republike Slovenije";73;40;33
" ";" ";" ";"Tuji državljani";76;44;32
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";70;33;37
" ";" ";" ";"Državljani Republike Slovenije";31;14;17
" ";" ";" ";"Tuji državljani";39;19;20
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";58;24;34
" ";" ";" ";"Državljani Republike Slovenije";30;13;17
" ";" ";" ";"Tuji državljani";28;11;17
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";43;12;31
" ";" ";" ";"Državljani Republike Slovenije";20;5;15
" ";" ";" ";"Tuji državljani";23;7;16
" ";"2013"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";13871;8465;5406
" ";" ";" ";"Državljani Republike Slovenije";2250;1306;944
" ";" ";" ";"Tuji državljani";11621;7159;4462
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";843;452;391
" ";" ";" ";"Državljani Republike Slovenije";221;118;103
" ";" ";" ";"Tuji državljani";622;334;288
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";602;314;288
" ";" ";" ";"Državljani Republike Slovenije";83;48;35
" ";" ";" ";"Tuji državljani";519;266;253
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";503;272;231
" ";" ";" ";"Državljani Republike Slovenije";49;23;26
" ";" ";" ";"Tuji državljani";454;249;205
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";748;406;342
" ";" ";" ";"Državljani Republike Slovenije";70;41;29
" ";" ";" ";"Tuji državljani";678;365;313
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1599;854;745
" ";" ";" ";"Državljani Republike Slovenije";83;52;31
" ";" ";" ";"Tuji državljani";1516;802;714
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";2050;1212;838
" ";" ";" ";"Državljani Republike Slovenije";179;104;75
" ";" ";" ";"Tuji državljani";1871;1108;763
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1712;1089;623
" ";" ";" ";"Državljani Republike Slovenije";197;109;88
" ";" ";" ";"Tuji državljani";1515;980;535
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1463;953;510
" ";" ";" ";"Državljani Republike Slovenije";209;131;78
" ";" ";" ";"Tuji državljani";1254;822;432
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1157;773;384
" ";" ";" ";"Državljani Republike Slovenije";161;103;58
" ";" ";" ";"Tuji državljani";996;670;326
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";1050;759;291
" ";" ";" ";"Državljani Republike Slovenije";185;125;60
" ";" ";" ";"Tuji državljani";865;634;231
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";745;542;203
" ";" ";" ";"Državljani Republike Slovenije";163;93;70
" ";" ";" ";"Tuji državljani";582;449;133
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";475;329;146
" ";" ";" ";"Državljani Republike Slovenije";166;96;70
" ";" ";" ";"Tuji državljani";309;233;76
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";379;220;159
" ";" ";" ";"Državljani Republike Slovenije";191;97;94
" ";" ";" ";"Tuji državljani";188;123;65
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";234;144;90
" ";" ";" ";"Državljani Republike Slovenije";135;84;51
" ";" ";" ";"Tuji državljani";99;60;39
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";133;80;53
" ";" ";" ";"Državljani Republike Slovenije";76;47;29
" ";" ";" ";"Tuji državljani";57;33;24
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";88;34;54
" ";" ";" ";"Državljani Republike Slovenije";46;21;25
" ";" ";" ";"Tuji državljani";42;13;29
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";50;21;29
" ";" ";" ";"Državljani Republike Slovenije";21;10;11
" ";" ";" ";"Tuji državljani";29;11;18
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";40;11;29
" ";" ";" ";"Državljani Republike Slovenije";15;4;11
" ";" ";" ";"Tuji državljani";25;7;18
" ";"2014"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";13846;8242;5604
" ";" ";" ";"Državljani Republike Slovenije";2535;1413;1122
" ";" ";" ";"Tuji državljani";11311;6829;4482
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";847;453;394
" ";" ";" ";"Državljani Republike Slovenije";270;130;140
" ";" ";" ";"Tuji državljani";577;323;254
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";640;343;297
" ";" ";" ";"Državljani Republike Slovenije";105;45;60
" ";" ";" ";"Tuji državljani";535;298;237
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";539;291;248
" ";" ";" ";"Državljani Republike Slovenije";73;34;39
" ";" ";" ";"Tuji državljani";466;257;209
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";839;463;376
" ";" ";" ";"Državljani Republike Slovenije";91;49;42
" ";" ";" ";"Tuji državljani";748;414;334
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";1562;813;749
" ";" ";" ";"Državljani Republike Slovenije";112;63;49
" ";" ";" ";"Tuji državljani";1450;750;700
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";1871;1047;824
" ";" ";" ";"Državljani Republike Slovenije";185;106;79
" ";" ";" ";"Tuji državljani";1686;941;745
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";1770;1083;687
" ";" ";" ";"Državljani Republike Slovenije";254;134;120
" ";" ";" ";"Tuji državljani";1516;949;567
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";1484;938;546
" ";" ";" ";"Državljani Republike Slovenije";279;176;103
" ";" ";" ";"Tuji državljani";1205;762;443
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";1169;775;394
" ";" ";" ";"Državljani Republike Slovenije";190;123;67
" ";" ";" ";"Tuji državljani";979;652;327
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";971;681;290
" ";" ";" ";"Državljani Republike Slovenije";179;114;65
" ";" ";" ";"Tuji državljani";792;567;225
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";741;534;207
" ";" ";" ";"Državljani Republike Slovenije";167;98;69
" ";" ";" ";"Tuji državljani";574;436;138
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";481;322;159
" ";" ";" ";"Državljani Republike Slovenije";152;90;62
" ";" ";" ";"Tuji državljani";329;232;97
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";346;193;153
" ";" ";" ";"Državljani Republike Slovenije";177;92;85
" ";" ";" ";"Tuji državljani";169;101;68
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";257;139;118
" ";" ";" ";"Državljani Republike Slovenije";145;74;71
" ";" ";" ";"Tuji državljani";112;65;47
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";143;77;66
" ";" ";" ";"Državljani Republike Slovenije";73;37;36
" ";" ";" ";"Tuji državljani";70;40;30
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";107;61;46
" ";" ";" ";"Državljani Republike Slovenije";51;37;14
" ";" ";" ";"Tuji državljani";56;24;32
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";43;22;21
" ";" ";" ";"Državljani Republike Slovenije";16;7;9
" ";" ";" ";"Tuji državljani";27;15;12
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";36;7;29
" ";" ";" ";"Državljani Republike Slovenije";16;4;12
" ";" ";" ";"Tuji državljani";20;3;17
"Odseljeni v tujino"
" ";"1995"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";3372;2202;1170
" ";" ";" ";"Državljani Republike Slovenije";776;393;383
" ";" ";" ";"Tuji državljani";2596;1809;787
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";105;56;49
" ";" ";" ";"Državljani Republike Slovenije";29;17;12
" ";" ";" ";"Tuji državljani";76;39;37
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";172;92;80
" ";" ";" ";"Državljani Republike Slovenije";40;21;19
" ";" ";" ";"Tuji državljani";132;71;61
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";105;61;44
" ";" ";" ";"Državljani Republike Slovenije";32;18;14
" ";" ";" ";"Tuji državljani";73;43;30
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";178;132;46
" ";" ";" ";"Državljani Republike Slovenije";58;40;18
" ";" ";" ";"Tuji državljani";120;92;28
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";264;162;102
" ";" ";" ";"Državljani Republike Slovenije";75;32;43
" ";" ";" ";"Tuji državljani";189;130;59
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";404;238;166
" ";" ";" ";"Državljani Republike Slovenije";98;44;54
" ";" ";" ";"Tuji državljani";306;194;112
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";390;252;138
" ";" ";" ";"Državljani Republike Slovenije";77;38;39
" ";" ";" ";"Tuji državljani";313;214;99
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";387;269;118
" ";" ";" ";"Državljani Republike Slovenije";48;21;27
" ";" ";" ";"Tuji državljani";339;248;91
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";374;280;94
" ";" ";" ";"Državljani Republike Slovenije";74;39;35
" ";" ";" ";"Tuji državljani";300;241;59
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";266;201;65
" ";" ";" ";"Državljani Republike Slovenije";75;36;39
" ";" ";" ";"Tuji državljani";191;165;26
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";187;136;51
" ";" ";" ";"Državljani Republike Slovenije";46;19;27
" ";" ";" ";"Tuji državljani";141;117;24
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";178;124;54
" ";" ";" ";"Državljani Republike Slovenije";41;19;22
" ";" ";" ";"Tuji državljani";137;105;32
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";120;84;36
" ";" ";" ";"Državljani Republike Slovenije";38;25;13
" ";" ";" ";"Tuji državljani";82;59;23
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";77;48;29
" ";" ";" ";"Državljani Republike Slovenije";26;18;8
" ";" ";" ";"Tuji državljani";51;30;21
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";63;33;30
" ";" ";" ";"Državljani Republike Slovenije";13;4;9
" ";" ";" ";"Tuji državljani";50;29;21
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";27;10;17
" ";" ";" ";"Državljani Republike Slovenije";0;0;0
" ";" ";" ";"Tuji državljani";27;10;17
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";34;12;22
" ";" ";" ";"Državljani Republike Slovenije";4;2;2
" ";" ";" ";"Tuji državljani";30;10;20
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";41;12;29
" ";" ";" ";"Državljani Republike Slovenije";2;0;2
" ";" ";" ";"Tuji državljani";39;12;27
" ";"1996"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";2985;1757;1228
" ";" ";" ";"Državljani Republike Slovenije";803;390;413
" ";" ";" ";"Tuji državljani";2182;1367;815
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";199;100;99
" ";" ";" ";"Državljani Republike Slovenije";39;18;21
" ";" ";" ";"Tuji državljani";160;82;78
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";152;84;68
" ";" ";" ";"Državljani Republike Slovenije";46;23;23
" ";" ";" ";"Tuji državljani";106;61;45
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";123;67;56
" ";" ";" ";"Državljani Republike Slovenije";40;20;20
" ";" ";" ";"Tuji državljani";83;47;36
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";218;122;96
" ";" ";" ";"Državljani Republike Slovenije";66;31;35
" ";" ";" ";"Tuji državljani";152;91;61
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";462;257;205
" ";" ";" ";"Državljani Republike Slovenije";82;42;40
" ";" ";" ";"Tuji državljani";380;215;165
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";459;286;173
" ";" ";" ";"Državljani Republike Slovenije";70;32;38
" ";" ";" ";"Tuji državljani";389;254;135
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";402;271;131
" ";" ";" ";"Državljani Republike Slovenije";82;41;41
" ";" ";" ";"Tuji državljani";320;230;90
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";273;186;87
" ";" ";" ";"Državljani Republike Slovenije";90;51;39
" ";" ";" ";"Tuji državljani";183;135;48
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";187;117;70
" ";" ";" ";"Državljani Republike Slovenije";68;35;33
" ";" ";" ";"Tuji državljani";119;82;37
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";158;90;68
" ";" ";" ";"Državljani Republike Slovenije";65;24;41
" ";" ";" ";"Tuji državljani";93;66;27
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";126;71;55
" ";" ";" ";"Državljani Republike Slovenije";52;25;27
" ";" ";" ";"Tuji državljani";74;46;28
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";93;45;48
" ";" ";" ";"Državljani Republike Slovenije";34;18;16
" ";" ";" ";"Tuji državljani";59;27;32
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";72;38;34
" ";" ";" ";"Državljani Republike Slovenije";35;16;19
" ";" ";" ";"Tuji državljani";37;22;15
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";24;9;15
" ";" ";" ";"Državljani Republike Slovenije";12;6;6
" ";" ";" ";"Tuji državljani";12;3;9
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";20;7;13
" ";" ";" ";"Državljani Republike Slovenije";13;4;9
" ";" ";" ";"Tuji državljani";7;3;4
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";9;4;5
" ";" ";" ";"Državljani Republike Slovenije";4;2;2
" ";" ";" ";"Tuji državljani";5;2;3
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";4;3;1
" ";" ";" ";"Državljani Republike Slovenije";2;2;0
" ";" ";" ";"Tuji državljani";2;1;1
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";4;0;4
" ";" ";" ";"Državljani Republike Slovenije";3;0;3
" ";" ";" ";"Tuji državljani";1;0;1
" ";"1997"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";5447;4174;1273
" ";" ";" ";"Državljani Republike Slovenije";807;443;364
" ";" ";" ";"Tuji državljani";4640;3731;909
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";87;59;28
" ";" ";" ";"Državljani Republike Slovenije";30;18;12
