"Meddržavne selitve po: SELITVE, LETO, STAROSTNE SKUPINE, DRŽAVLJANSTVO"
", SPOL"

" ";" ";" ";" ";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"1995"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";277;129;148
" ";" ";" ";"Državljani Republike Slovenije";44;22;22
" ";" ";" ";"Tuji državljani";233;107;126
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";229;127;102
" ";" ";" ";"Državljani Republike Slovenije";61;37;24
" ";" ";" ";"Tuji državljani";168;90;78
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";194;104;90
" ";" ";" ";"Državljani Republike Slovenije";53;28;25
" ";" ";" ";"Tuji državljani";141;76;65
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";298;168;130
" ";" ";" ";"Državljani Republike Slovenije";67;36;31
" ";" ";" ";"Tuji državljani";231;132;99
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";667;384;283
" ";" ";" ";"Državljani Republike Slovenije";49;29;20
" ";" ";" ";"Tuji državljani";618;355;263
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";660;424;236
" ";" ";" ";"Državljani Republike Slovenije";63;36;27
" ";" ";" ";"Tuji državljani";597;388;209
" ";" ";"30-34 let"
" ";" ";" ";"Selitve - SKUPAJ";523;337;186
" ";" ";" ";"Državljani Republike Slovenije";74;39;35
" ";" ";" ";"Tuji državljani";449;298;151
" ";" ";"35-39 let"
" ";" ";" ";"Selitve - SKUPAJ";488;349;139
" ";" ";" ";"Državljani Republike Slovenije";66;40;26
" ";" ";" ";"Tuji državljani";422;309;113
" ";" ";"40-44 let"
" ";" ";" ";"Selitve - SKUPAJ";354;258;96
" ";" ";" ";"Državljani Republike Slovenije";54;27;27
" ";" ";" ";"Tuji državljani";300;231;69
" ";" ";"45-49 let"
" ";" ";" ";"Selitve - SKUPAJ";283;200;83
" ";" ";" ";"Državljani Republike Slovenije";74;33;41
" ";" ";" ";"Tuji državljani";209;167;42
" ";" ";"50-54 let"
" ";" ";" ";"Selitve - SKUPAJ";176;112;64
" ";" ";" ";"Državljani Republike Slovenije";46;16;30
" ";" ";" ";"Tuji državljani";130;96;34
" ";" ";"55-59 let"
" ";" ";" ";"Selitve - SKUPAJ";143;78;65
" ";" ";" ";"Državljani Republike Slovenije";60;27;33
" ";" ";" ";"Tuji državljani";83;51;32
" ";" ";"60-64 let"
" ";" ";" ";"Selitve - SKUPAJ";102;61;41
" ";" ";" ";"Državljani Republike Slovenije";51;32;19
" ";" ";" ";"Tuji državljani";51;29;22
" ";" ";"65-69 let"
" ";" ";" ";"Selitve - SKUPAJ";82;38;44
" ";" ";" ";"Državljani Republike Slovenije";42;18;24
" ";" ";" ";"Tuji državljani";40;20;20
" ";" ";"70-74 let"
" ";" ";" ";"Selitve - SKUPAJ";64;25;39
" ";" ";" ";"Državljani Republike Slovenije";23;11;12
" ";" ";" ";"Tuji državljani";41;14;27
" ";" ";"75-79 let"
" ";" ";" ";"Selitve - SKUPAJ";35;13;22
" ";" ";" ";"Državljani Republike Slovenije";16;8;8
" ";" ";" ";"Tuji državljani";19;5;14
" ";" ";"80-84 let"
" ";" ";" ";"Selitve - SKUPAJ";13;3;10
" ";" ";" ";"Državljani Republike Slovenije";7;3;4
" ";" ";" ";"Tuji državljani";6;0;6
" ";" ";"85 + let"
" ";" ";" ";"Selitve - SKUPAJ";15;7;8
" ";" ";" ";"Državljani Republike Slovenije";7;4;3
" ";" ";" ";"Tuji državljani";8;3;5
" ";"1999"
" ";" ";"Starostne skupine - SKUPAJ"
" ";" ";" ";"Selitve - SKUPAJ";4941;3683;1258
" ";" ";" ";"Državljani Republike Slovenije";1362;729;633
" ";" ";" ";"Tuji državljani";3579;2954;625
" ";" ";"0-4 let"
" ";" ";" ";"Selitve - SKUPAJ";118;58;60
" ";" ";" ";"Državljani Republike Slovenije";67;29;38
" ";" ";" ";"Tuji državljani";51;29;22
" ";" ";"5-9 let"
" ";" ";" ";"Selitve - SKUPAJ";133;59;74
" ";" ";" ";"Državljani Republike Slovenije";83;37;46
" ";" ";" ";"Tuji državljani";50;22;28
" ";" ";"10-14 let"
" ";" ";" ";"Selitve - SKUPAJ";145;78;67
" ";" ";" ";"Državljani Republike Slovenije";91;51;40
" ";" ";" ";"Tuji državljani";54;27;27
" ";" ";"15-19 let"
" ";" ";" ";"Selitve - SKUPAJ";249;142;107
" ";" ";" ";"Državljani Republike Slovenije";92;44;48
" ";" ";" ";"Tuji državljani";157;98;59
" ";" ";"20-24 let"
" ";" ";" ";"Selitve - SKUPAJ";764;598;166
" ";" ";" ";"Državljani Republike Slovenije";95;47;48
" ";" ";" ";"Tuji državljani";669;551;118
" ";" ";"25-29 let"
" ";" ";" ";"Selitve - SKUPAJ";776;609;167
" ";" ";" ";"Državljani Republike Slovenije";110;56;54
